	Microbial Species	Microbial TaxID	Clade_name	Kingdom	Phylum	Class	Order	Family	Genus	Species	#MultAlgSp	#UniAlgSp	#AlgSpTot	Chlamydomonas_asymmetrica	Chlamydomonas_callosa	Chlamydomonas_cribrum	Chlamydomonas_fottii	Chlamydomonas_globosa	Chlamydomonas_isabeliensis	Chlamydomonas_latifons	Chlamydomonas_parallestriata	Chlamydomonas_parallestriata_s2	Chlamydomonas_parallestriata_s3	Chlamydomonas_parallestriata_s4	Chlamydomonas_parallestriata_s5	Chlamydomonas_parallestriata_s6	Chlamydomonas_petasus	Chlamydomonas_pila	Chlamydomonas_schloesseri	Chlamydomonas_sp.	Chlamydomonas_typica	Chlamydomonas_typica_s2	Chlamydomonas_zebra	Eudorina_elegans	Eudorina_unicocca	Haematococcus_lacustris	Lobomonas_rostrata	Microglena_globulifera	Pandorina_morum	Pandorina_sp.	Paulschulzia_pseudovolvox	Tetrabaena_socialis	Tetraspora_cylindrica	Vitreochlamys_aulata	Vitreochlamys_fluviatilis	Vitreochlamys_ordinata	Vitreochlamys_ordinata_s2	Vitreochlamys_spec.	Volvox_aureus	Volvox_barberi	Volvox_giga	Volvox_globator	Volvox_sp.	Volvox_tertius
56	Acidovorax sp. HDW3	2714923	k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Comamonadaceae|g__Acidovorax|s__Acidovorax_sp_HDW3	k__Bacteria	p__Proteobacteria	c__Betaproteobacteria	o__Burkholderiales	f__Comamonadaceae	g__Acidovorax	s__Acidovorax_sp_HDW3	1	2	3	0	0	0	0	0.0012	0	0	0	0	0.0009	0	0	0	0	0	0	0	0	0	0	0.0004	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
57	Acidovorax radicis	758826	k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Comamonadaceae|g__Acidovorax|s__Acidovorax_radicis	k__Bacteria	p__Proteobacteria	c__Betaproteobacteria	o__Burkholderiales	f__Comamonadaceae	g__Acidovorax	s__Acidovorax_radicis	3	4	7	0	0	0	0	0.0049	0	0	0	0	0.0196	0	0	0	0	0	0.0035	0	0	0	0	0.0059	0	0.0001	0	0	0.0101	0	0	0.0039	0	0	0	0	0	0	0	0	0	0	0	0
59	Variovorax sp. PAMC 28711	1795631	k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Comamonadaceae|g__Variovorax|s__Variovorax_sp_PAMC_28711	k__Bacteria	p__Proteobacteria	c__Betaproteobacteria	o__Burkholderiales	f__Comamonadaceae	g__Variovorax	s__Variovorax_sp_PAMC_28711	1	9	10	0	0	0	0	0.0002	0	0	0	0.0004	0	0.001	0	0.0001	0	0	0	0.5201	0.0052	0	0	0	0	0	0	0.0014	0	0	0	0	0	0	0	0.0283	0.0016	0	0	0	0.0092	0	0	0
60	Diaphorobacter nitroreducens	164759	k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Comamonadaceae|g__Diaphorobacter|s__Diaphorobacter_nitroreducens	k__Bacteria	p__Proteobacteria	c__Betaproteobacteria	o__Burkholderiales	f__Comamonadaceae	g__Diaphorobacter	s__Diaphorobacter_nitroreducens	1	3	4	0	0	0	0	0.0002	0	0.0001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0008	0	0	0	0	0	0.0001	0	0	0	0	0	0	0	0	0
61	Candidatus Symbiobacter mobilis	1436290	k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Comamonadaceae|g__Candidatus_Symbiobacter|s__Candidatus_Symbiobacter_mobilis	k__Bacteria	p__Proteobacteria	c__Betaproteobacteria	o__Burkholderiales	f__Comamonadaceae	g__Candidatus_Symbiobacter	s__Candidatus_Symbiobacter_mobilis	0	3	3	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0.0002	0	0.0016	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
62	Flavobacterium sp. IMCC34852	2732161	k__Bacteria|p__Bacteroidota|c__Flavobacteriia|o__Flavobacteriales|f__Flavobacteriaceae|g__Flavobacterium|s__Flavobacterium_sp_IMCC34852	k__Bacteria	p__Bacteroidota	c__Flavobacteriia	o__Flavobacteriales	f__Flavobacteriaceae	g__Flavobacterium	s__Flavobacterium_sp_IMCC34852	1	2	3	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0014	0	0	0	0	0	0	0	0.0016	0
63	Lysobacter terrestris	2865112	k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Xanthomonadales|f__Xanthomonadaceae|g__Lysobacter|s__Lysobacter_terrestris	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Xanthomonadales	f__Xanthomonadaceae	g__Lysobacter	s__Lysobacter_terrestris	0	1	1	0	0	0	0	0	0.1025	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
64	Lysobacter alkalisoli	2591633	k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Xanthomonadales|f__Xanthomonadaceae|g__Lysobacter|s__Lysobacter_alkalisoli	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Xanthomonadales	f__Xanthomonadaceae	g__Lysobacter	s__Lysobacter_alkalisoli	0	1	1	0	0	0	0	0	0.0527	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
65	Lysobacter luteus	2822368	k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Xanthomonadales|f__Xanthomonadaceae|g__Lysobacter|s__Lysobacter_luteus	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Xanthomonadales	f__Xanthomonadaceae	g__Lysobacter	s__Lysobacter_luteus	0	1	1	0	0	0	0	0	0.0418	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
66	Luteimonas granuli	1176533	k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Xanthomonadales|f__Xanthomonadaceae|g__Luteimonas|s__Luteimonas_granuli	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Xanthomonadales	f__Xanthomonadaceae	g__Luteimonas	s__Luteimonas_granuli	0	1	1	0	0	0	0	0	0.0292	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
68	Pseudomonas migulae	78543	k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales|f__Pseudomonadaceae|g__Pseudomonas|s__Pseudomonas_migulae	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Pseudomonadales	f__Pseudomonadaceae	g__Pseudomonas	s__Pseudomonas_migulae	0	2	2	0	0	0	0	0	0.0002	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
69	Allochromatium vinosum	1049	k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Chromatiales|f__Chromatiaceae|g__Allochromatium|s__Allochromatium_vinosum	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Chromatiales	f__Chromatiaceae	g__Allochromatium	s__Allochromatium_vinosum	0	1	1	0	0	0	0	0	0.0002	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
72	Allorhizobium pseudoryzae	379684	k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Hyphomicrobiales|f__Rhizobiaceae|g__Rhizobium|s__Rhizobium_pseudoryzae	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Hyphomicrobiales	f__Rhizobiaceae	g__Rhizobium	s__Rhizobium_pseudoryzae	1	1	2	0	0	0	0	0	0.0024	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0012	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
73	Bradyrhizobium sp. 200	2782665	k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Hyphomicrobiales|f__Nitrobacteraceae|g__Bradyrhizobium|s__Bradyrhizobium_sp_200	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Hyphomicrobiales	f__Nitrobacteraceae	g__Bradyrhizobium	s__Bradyrhizobium_sp_200	2	4	6	0	0	0	0	0	0.0052	0	0	0.0576	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0038	0	0	0.0023	0	0	0	0.056	0.0074	0	0	0	0	0	0	0
74	Bradyrhizobium sp. CCBAU 051011	858422	k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Hyphomicrobiales|f__Nitrobacteraceae|g__Bradyrhizobium|s__Bradyrhizobium_sp_CCBAU_051011	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Hyphomicrobiales	f__Nitrobacteraceae	g__Bradyrhizobium	s__Bradyrhizobium_sp_CCBAU_051011	3	4	7	0	0	0	0	0	0.0027	0	0	0.028	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0031	0.0008	0	0.0009	0	0	0	0.0224	0.0038	0	0	0	0	0	0	0
75	Bradyrhizobium erythrophlei	1437360	k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Hyphomicrobiales|f__Nitrobacteraceae|g__Bradyrhizobium|s__Bradyrhizobium_erythrophlei	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Hyphomicrobiales	f__Nitrobacteraceae	g__Bradyrhizobium	s__Bradyrhizobium_erythrophlei	2	3	5	0	0	0	0	0	0.0034	0	0	0.0081	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0037	0	0	0.0009	0	0	0	0.01	0	0	0	0	0	0	0	0
76	Bradyrhizobium sediminis	2840469	k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Hyphomicrobiales|f__Nitrobacteraceae|g__Bradyrhizobium|s__Bradyrhizobium_sediminis	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Hyphomicrobiales	f__Nitrobacteraceae	g__Bradyrhizobium	s__Bradyrhizobium_sediminis	0	3	3	0	0	0	0	0	0.0021	0	0	0.0054	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0026	0	0	0	0	0	0	0	0
77	Bradyrhizobium paxllaeri	190148	k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Hyphomicrobiales|f__Nitrobacteraceae|g__Bradyrhizobium|s__Bradyrhizobium_paxllaeri	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Hyphomicrobiales	f__Nitrobacteraceae	g__Bradyrhizobium	s__Bradyrhizobium_paxllaeri	2	3	5	0	0	0	0	0	0.0015	0	0	0.0084	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0022	0	0	0.0007	0	0	0	0.0024	0	0	0	0	0	0	0	0
78	Bradyrhizobium lablabi	722472	k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Hyphomicrobiales|f__Nitrobacteraceae|g__Bradyrhizobium|s__Bradyrhizobium_lablabi	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Hyphomicrobiales	f__Nitrobacteraceae	g__Bradyrhizobium	s__Bradyrhizobium_lablabi	0	4	4	0	0	0	0	0	0.001	0	0	0.002	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0012	0.0013	0	0	0	0	0	0	0
79	Bradyrhizobium symbiodeficiens	1404367	k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Hyphomicrobiales|f__Nitrobacteraceae|g__Bradyrhizobium|s__Bradyrhizobium_symbiodeficiens	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Hyphomicrobiales	f__Nitrobacteraceae	g__Bradyrhizobium	s__Bradyrhizobium_symbiodeficiens	0	3	3	0	0	0	0	0	0.0006	0	0	0.0054	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0022	0	0	0	0	0	0	0	0
80	Nitrobacter winogradskyi	913	k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Hyphomicrobiales|f__Nitrobacteraceae|g__Nitrobacter|s__Nitrobacter_winogradskyi	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Hyphomicrobiales	f__Nitrobacteraceae	g__Nitrobacter	s__Nitrobacter_winogradskyi	2	3	5	0	0	0	0	0	0.0478	0	0	0	0	0	0	0	0	0	0	0	0.0013	0	0	0	0	0.0196	0	0	0.0038	0	0	0	0	0	0	0	0	0	0.0019	0	0	0	0	0
81	Chelatococcus daeguensis	444444	k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Hyphomicrobiales|f__Chelatococcaceae|g__Chelatococcus|s__Chelatococcus_daeguensis	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Hyphomicrobiales	f__Chelatococcaceae	g__Chelatococcus	s__Chelatococcus_daeguensis	0	3	3	0	0	0	0	0	0.0022	0	0	0	0	0	0	0	0	0	0	0	0.0003	0	0	0	0	0.0011	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
82	Sphingopyxis sp. OPL5	2486273	k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Sphingomonadales|f__Sphingomonadaceae|g__Sphingopyxis|s__Sphingopyxis_sp_OPL5	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Sphingomonadales	f__Sphingomonadaceae	g__Sphingopyxis	s__Sphingopyxis_sp_OPL5	2	10	12	0	0	0	0	0	0.0288	0	0	0.0487	0.0213	0.0348	0.0142	0.0992	0	0	0	0.011	0	0	0	0.0005	0	0.0007	0	0	0	0	0	0	0	0	0	0.0219	0.135	0	0	0	0	0	0.0516	0
83	Sphingopyxis sp. QXT-31	1357916	k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Sphingomonadales|f__Sphingomonadaceae|g__Sphingopyxis|s__Sphingopyxis_sp_QXT_31	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Sphingomonadales	f__Sphingomonadaceae	g__Sphingopyxis	s__Sphingopyxis_sp_QXT_31	3	9	12	0	0	0	0	0	0.0249	0	0	0.024	0.0192	0.0252	0.0084	0	0	0	0	0	0.0038	0	0.0403	0.0003	0	0.0006	0	0	0	0	0	0	0	0	0	0.012	0	0	0.0016	0	0	0	0.0596	0
84	Sphingopyxis sp. YF1	2482763	k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Sphingomonadales|f__Sphingomonadaceae|g__Sphingopyxis|s__Sphingopyxis_sp_YF1	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Sphingomonadales	f__Sphingomonadaceae	g__Sphingopyxis	s__Sphingopyxis_sp_YF1	2	10	12	0	0	0	0	0	0.0152	0	0	0.0201	0.0132	0.0168	0.0066	0.0419	0	0	0	0	0	0	0	0.0003	0	0.0004	0	0	0	0	0	0	0	0	0.0001	0.0098	0.0491	0	0	0	0	0	0.0307	0
85	Sphingopyxis sp. BSN-002	2911495	k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Sphingomonadales|f__Sphingomonadaceae|g__Sphingopyxis|s__Sphingopyxis_sp_BSN_002	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Sphingomonadales	f__Sphingomonadaceae	g__Sphingopyxis	s__Sphingopyxis_sp_BSN_002	1	7	8	0	0	0	0	0	0.0122	0	0	0.0227	0.0103	0	0.0086	0.0446	0	0	0	0	0.0038	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0134	0	0	0	0	0	0	0.0196	0
86	Sphingopyxis macrogoltabida	33050	k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Sphingomonadales|f__Sphingomonadaceae|g__Sphingopyxis|s__Sphingopyxis_macrogoltabida	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Sphingomonadales	f__Sphingomonadaceae	g__Sphingopyxis	s__Sphingopyxis_macrogoltabida	3	10	13	0	0	0	0	0	0.0369	0	0	0.057	0.0335	0.0447	0.0172	0.0874	0	0	0	0.0253	0.0063	0	0	0.0008	0	0	0	0	0.0027	0	0	0	0	0	0	0.0422	0.2153	0	0	0	0	0	0.0617	0
87	Sphingopyxis lindanitolerans	2054227	k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Sphingomonadales|f__Sphingomonadaceae|g__Sphingopyxis|s__Sphingopyxis_lindanitolerans	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Sphingomonadales	f__Sphingomonadaceae	g__Sphingopyxis	s__Sphingopyxis_lindanitolerans	0	6	6	0	0	0	0	0	0.0089	0	0	0.0201	0	0	0.0062	0.0415	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0107	0.0576	0	0	0	0	0	0	0
88	Sphingopyxis granuli	267128	k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Sphingomonadales|f__Sphingomonadaceae|g__Sphingopyxis|s__Sphingopyxis_granuli	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Sphingomonadales	f__Sphingomonadaceae	g__Sphingopyxis	s__Sphingopyxis_granuli	1	8	9	0	0	0	0	0	0.0048	0	0	0.0074	0	0.0052	0.0028	0.0137	0	0	0	0	0.0014	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0076	0.023	0	0	0	0	0	0.0064	0
89	Sphingopyxis terrae	33052	k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Sphingomonadales|f__Sphingomonadaceae|g__Sphingopyxis|s__Sphingopyxis_terrae	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Sphingomonadales	f__Sphingomonadaceae	g__Sphingopyxis	s__Sphingopyxis_terrae	2	6	8	0	0	0	0	0	0.0024	0	0	0.0036	0.0037	0	0.0018	0	0	0	0	0	0.0011	0	0	0.0008	0	0	0	0	0	0	0	0	0	0	0	0.0048	0	0	0	0	0	0	0.0037	0
90	Rhizorhabdus phycosphaerae	2711156	k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Sphingomonadales|f__Sphingomonadaceae|g__Rhizorhabdus|s__Rhizorhabdus_phycosphaerae	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Sphingomonadales	f__Sphingomonadaceae	g__Rhizorhabdus	s__Rhizorhabdus_phycosphaerae	0	1	1	0	0	0	0	0	0.0064	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
92	Parasphingopyxis algicola	2026624	k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Sphingomonadales|f__Sphingomonadaceae|g__Parasphingopyxis|s__Parasphingopyxis_algicola	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Sphingomonadales	f__Sphingomonadaceae	g__Parasphingopyxis	s__Parasphingopyxis_algicola	0	1	1	0	0	0	0	0	0.0005	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
93	Parasphingorhabdus litoris	394733	k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Sphingomonadales|f__Sphingomonadaceae|g__Parasphingorhabdus|s__Parasphingorhabdus_litoris	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Sphingomonadales	f__Sphingomonadaceae	g__Parasphingorhabdus	s__Parasphingorhabdus_litoris	1	3	4	0	0	0	0	0	0.0002	0	0	0	0.0102	0.0002	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0007	0
99	Gemmobacter aquarius	2169400	k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodobacterales|f__Rhodobacteraceae|g__Gemmobacter|s__Gemmobacter_aquarius	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhodobacterales	f__Rhodobacteraceae	g__Gemmobacter	s__Gemmobacter_aquarius	2	13	15	0	0	0	0	0	0.0411	0	0	0.0365	0.1324	0.0878	0.024	0.0758	0.0257	0	0	0.3119	0.0272	0	0	0	0	0.022	0	0.0262	0.0704	0	0	0.0582	0	0	0	0.0342	0.0894	0	0	0	0	0	0	0
100	Actibacterium sp. EMB200-NS6	1609966	k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodobacterales|f__Roseobacteraceae|g__Actibacterium|s__Actibacterium_sp_EMB200_NS6	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhodobacterales	f__Roseobacteraceae	g__Actibacterium	s__Actibacterium_sp_EMB200_NS6	0	9	9	0	0	0	0	0	0.0024	0	0	0.002	0	0	0.0014	0.0041	0	0	0	0.0208	0.0016	0	0	0	0	0.0012	0	0.002	0	0	0	0	0	0	0	0.0022	0	0	0	0	0	0	0	0
101	Roseomonas fluvialis	1750527	k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodospirillales|f__Acetobacteraceae|g__Roseomonas|s__Roseomonas_sp_S08	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhodospirillales	f__Acetobacteraceae	g__Roseomonas	s__Roseomonas_sp_S08	0	2	2	0	0	0	0	0	0.0047	0	0	0	0	0	0	0	0	0	0.005	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
102	Acidibrevibacterium fodinaquatile	1969806	k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodospirillales|f__Acetobacteraceae|g__Acidibrevibacterium|s__Acidibrevibacterium_fodinaquatile	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhodospirillales	f__Acetobacteraceae	g__Acidibrevibacterium	s__Acidibrevibacterium_fodinaquatile	0	1	1	0	0	0	0	0	0.0007	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
103	Niveispirillum cyanobacteriorum	1612173	k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodospirillales|f__Azospirillaceae|g__Niveispirillum|s__Niveispirillum_cyanobacteriorum	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhodospirillales	f__Azospirillaceae	g__Niveispirillum	s__Niveispirillum_cyanobacteriorum	1	4	5	0	0	0	0	0	0.0217	0	0	0	0	0	0	0	0.0726	0	0.0275	0	0	0	0	0	0	0	0	0	0.0217	0	0	0	0	0	0.0004	0	0	0	0	0	0	0	0	0
106	Hydrogenophaga sp. RAC07	1842537	k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Comamonadaceae|g__Hydrogenophaga|s__Hydrogenophaga_sp_RAC07	k__Bacteria	p__Proteobacteria	c__Betaproteobacteria	o__Burkholderiales	f__Comamonadaceae	g__Hydrogenophaga	s__Hydrogenophaga_sp_RAC07	2	3	5	0	0	0	0	0	0	0.2982	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1602	0	0.0026	0	0	0	0	0	0	0	0	0.0119	0	0	0	0.0498	0	0	0	0	0
107	Hydrogenophaga sp. PBL-H3	434010	k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Comamonadaceae|g__Hydrogenophaga|s__Hydrogenophaga_sp_PBL_H3	k__Bacteria	p__Proteobacteria	c__Betaproteobacteria	o__Burkholderiales	f__Comamonadaceae	g__Hydrogenophaga	s__Hydrogenophaga_sp_PBL_H3	1	3	4	0	0	0	0	0	0	0.1464	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1386	0	0.002	0	0	0	0	0	0	0	0	0.0072	0	0	0	0	0	0	0	0	0
108	Hydrogenophaga taeniospiralis	65656	k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Comamonadaceae|g__Hydrogenophaga|s__Hydrogenophaga_taeniospiralis	k__Bacteria	p__Proteobacteria	c__Betaproteobacteria	o__Burkholderiales	f__Comamonadaceae	g__Hydrogenophaga	s__Hydrogenophaga_taeniospiralis	2	4	6	0	0	0	0	0	0	0.0246	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0428	0	0.0007	0	0	0.0983	0	0	0	0	0	0.003	0	0	0.0272	0	0	0	0	0	0
110	Caldimonas brevitalea	413882	k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Sphaerotilaceae|g__Schlegelella|s__Schlegelella_brevitalea	k__Bacteria	p__Proteobacteria	c__Betaproteobacteria	o__Burkholderiales	f__Sphaerotilaceae	g__Schlegelella	s__Schlegelella_brevitalea	0	1	1	0	0	0	0	0	0	0.0002	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
115	Sphingobium amiense	135719	k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Sphingomonadales|f__Sphingomonadaceae|g__Sphingobium|s__Sphingobium_amiense	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Sphingomonadales	f__Sphingomonadaceae	g__Sphingobium	s__Sphingobium_amiense	0	2	2	0	0	0	0	0	0	0.0002	0	0	0	0	0	0	0	0	0	0	0.0006	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
116	Sandaracinobacteroides saxicola	2759707	k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Sphingomonadales|f__Sphingosinicellaceae|g__Sandaracinobacteroides|s__Sandaracinobacteroides_saxicola	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Sphingomonadales	f__Sphingosinicellaceae	g__Sandaracinobacteroides	s__Sandaracinobacteroides_saxicola	0	1	1	0	0	0	0	0	0	0.0001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
118	Rhodobacter capsulatus	1061	k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodobacterales|f__Rhodobacteraceae|g__Rhodobacter|s__Rhodobacter_capsulatus	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhodobacterales	f__Rhodobacteraceae	g__Rhodobacter	s__Rhodobacter_capsulatus	0	1	1	0	0	0	0	0	0	0.0052	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
120	Bosea sp. PAMC 26642	1792307	k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Hyphomicrobiales|f__Boseaceae|g__Bosea|s__Bosea_sp_PAMC_26642	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Hyphomicrobiales	f__Boseaceae	g__Bosea	s__Bosea_sp_PAMC_26642	0	2	2	0	0	0	0	0	0	0.0027	0	0	0	0	0.0026	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
